ADM1ALT1EN,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023
,225,3177184,2222048,2159213,5888,1348,1704,837,2934,2504,2099,1977,976,1868,1770,826,927,1941,2123,1465,2719,3075,1772,1301,1244,1176,816,2398
,225,2393640,1942068,1974273,11848,3648,3324,2686,7845,4266,5278,3515,2530,5898,7916,4723,7082,3847,17716,13577,14722,14603,7610,8805,7176,7840,4883,4488
,225,6867672,6228771,6180542,31008,24628,23761,13614,48633,28602,28055,29101,24708,34120,49090,38680,51021,21613,100159,75003,79731,97185,55397,55934,43777,38539,31878,25935
,225,1331480,953843,937606,2360,1338,872,581,1768,806,2176,905,3086,928,1496,281,2573,1223,1823,354,2453,1983,921,1930,1251,383,1440,551
,225,2010912,1408641,1425263,5024,2723,675,1370,2135,2389,17589,4370,1049,4466,9154,1254,1483,523,2852,115,509,6312,814,869,2587,1509,750,771
,225,2188736,1308997,1298506,4112,2611,921,436,1122,801,1674,691,2656,1153,3538,295,1526,1090,488,163,1640,799,219,570,318,313,888,514
,225,3130944,2822081,2785505,2240,7745,6615,8206,13053,11314,14922,17832,8797,15894,12159,8676,7262,14660,13330,16409,31938,31882,41357,13405,16381,17693,15297,15795
,225,2432880,2218507,2186990,5272,2280,2792,5405,4411,5751,8074,7351,3913,5112,3931,4830,4840,4222,2642,2656,3667,2583,3315,1582,2911,3876,2506,3134
,225,1095120,988896,980356,2288,902,3709,3363,3172,976,3287,6464,2082,5217,2691,3121,2195,2980,4465,1900,9949,4131,7047,6720,1981,2715,3017,2129
,225,1053520,615226,633388,13136,684,435,585,826,877,1419,879,238,1055,1211,590,1589,126,265,177,487,680,532,304,322,646,778,2109
,225,166104,101600,96244,144,805,373,236,0,0,0,0,0,0,658,0,0,0,1196,0,0,1277,74,103,38,260,78,75
,225,2576376,1342944,1346667,11080,2791,2693,2643,951,2769,2241,1828,921,3574,12599,80,3078,1420,3810,1134,2782,2711,1600,1140,1591,1050,1124,1914
,225,2111456,1576213,1518155,1624,500,2828,428,1017,1033,1620,1038,451,3636,2805,714,778,528,767,98,1011,1107,462,369,368,295,262,568
,225,427528,353710,358211,1040,302,166,235,189,380,266,436,214,371,973,167,132,660,994,270,288,1048,883,90,1200,132,49,41
,225,3182696,1753302,1766616,23432,2309,1103,612,2448,1738,2317,3074,628,3470,4542,2541,2624,883,1157,610,2746,4634,1096,673,1174,1592,18572,949
,225,7280648,4266766,4192890,91472,3671,4087,1581,5775,5992,7361,10263,3918,7443,21473,5419,7841,6223,12265,10862,29520,17129,9880,9861,10033,5195,6618,6883
,225,2045512,1115748,1099967,9008,2224,1945,1390,1591,2414,2480,3260,1082,3049,4528,811,3137,1350,1327,984,2670,2100,1585,1017,1219,1305,1114,1273
,225,7053968,4521482,4419903,16480,4064,7902,13271,13517,14921,22923,30870,13008,20597,26192,14958,16181,13328,9087,10972,15859,16140,36989,6015,13000,13491,9364,13617
,225,1687920,1388193,1363252,3640,2538,916,1009,2153,1987,4003,3075,5262,3990,4653,765,4453,1795,3018,1938,5442,5199,4348,3157,4205,1931,2180,2964
,225,4239424,2916721,2930422,10888,4081,1612,2224,3356,5151,8549,9702,3789,6016,12920,2212,6863,3280,5284,1743,5465,14371,3209,4746,4873,4550,2585,2785
,225,195248,167528,176992,288,47,182,24,49,133,78,63,63,87,287,95,57,31,33,16,298,104,9,14,50,58,17,34
,225,2120776,998587,979665,9344,1604,876,658,1371,1107,2517,2786,2899,2372,1826,867,4589,3845,5466,960,7657,7101,3583,3715,2447,1704,3073,1697
,225,1178400,1055739,1049325,752,2045,360,805,11106,1316,1347,2294,771,1690,1879,613,1081,1324,1794,456,477,5032,431,487,258,661,200,145
,225,995080,450665,457378,6088,542,428,530,466,961,701,827,308,1068,1058,16,773,328,935,298,969,703,781,764,254,275,435,432
,225,3905288,1912667,1668058,20632,2294,2472,1388,2285,4015,3428,4843,2690,12021,7566,3631,4712,1806,2065,869,4263,6404,2599,1387,1305,1446,5090,1146
,225,3397648,2919352,2869947,24512,14058,5807,4526,15698,10880,13129,11674,5679,11528,18073,9156,19694,19631,43344,11980,20437,28817,15899,16164,14998,10973,11298,10285
,225,4099776,3631067,3610279,20832,9581,8525,2658,12008,9290,8825,12256,5310,14944,15270,8398,18132,77655,42404,15698,33234,33198,27774,17525,16386,21447,15591,20504
,225,2790664,2031526,2045879,30848,4364,3021,3360,5579,4126,6380,7373,2634,5834,11417,4878,7370,5107,12171,7263,14621,22179,12436,12264,13568,7785,12170,11004
,225,4839376,3236481,3107645,32136,4125,3713,2606,6447,4254,7638,7580,3900,5169,13601,4660,6609,4238,8747,4406,15823,15761,6387,7206,6933,4317,6295,4658
,225,646920,500457,504467,2280,710,434,151,1656,754,1354,669,570,1102,1858,618,1153,691,1263,1921,2160,1443,361,1205,1327,1279,20237,1639
,225,3423088,3183051,3167402,2536,5179,3959,3735,5623,6379,5817,6485,2323,8998,7578,4551,4949,44971,51966,10054,7018,9566,4030,4236,18132,4175,1982,2050
,225,483992,213764,207152,13256,434,130,128,274,245,658,277,280,597,416,324,280,534,310,199,768,1543,610,733,414,912,580,723
,225,2002664,1210183,1144089,8824,662,1610,1766,2122,3608,2988,2659,1012,3124,4240,1224,2078,1583,1281,1513,4346,4437,3357,2655,3480,4447,2531,2928
,225,2702200,1605724,1582095,2976,981,681,387,2150,918,1343,829,1273,1455,1057,498,847,1381,1324,647,824,1330,633,697,551,686,929,1076
,225,2003216,1184810,1135919,4096,316,605,175,532,557,499,579,440,1302,1213,348,741,573,961,231,647,445,314,150,174,259,279,240
,225,3771208,1481972,1444741,20224,4013,1625,717,1741,2230,3738,4223,4151,4317,4466,1364,10898,3011,4791,947,7486,7601,4719,3283,2031,2095,2709,2061
,225,8225736,4642710,4603670,25512,6592,7468,48452,3521,10226,13354,10669,11118,11512,13777,7992,19906,6846,8984,6940,15913,27476,17791,10175,10710,8590,5563,5619
,225,2318208,1656872,1641906,4624,1227,2069,2614,2311,3376,3422,3961,2105,3000,5008,2792,3424,4131,4360,4498,8773,7344,5263,2997,4368,3315,3263,5092
,225,1170064,661688,599277,3032,138,293,102,371,448,355,435,309,977,819,183,336,473,350,177,374,433,300,163,154,85,91,194
,225,2157312,1084077,1061613,5872,4158,1466,1193,1702,2139,5784,2136,3057,4303,13857,190,3620,1209,3469,346,2232,2066,1604,945,1006,894,1483,2050
,225,2272736,1739090,1754375,10664,984,886,1094,2178,3339,2635,2625,2778,3315,5896,1890,3628,1626,3628,4354,9149,9518,5645,5758,5017,4513,3139,3063
,225,3102152,2346635,2289051,12360,1960,1548,2788,3503,5723,3310,8092,4876,4291,13665,2556,3391,2142,4611,4216,18643,14884,7528,5551,4490,3882,4804,5634
,225,4449168,3353928,3352947,15576,5242,2381,3092,5522,5012,4335,5660,2051,7505,14640,5711,3781,62909,130307,4600,9445,9364,4472,2163,3417,2964,3150,2834
,225,3827208,1877911,1930990,50280,1527,2027,2508,1798,4179,3428,5423,3568,5941,20206,2815,5558,3104,6514,4793,10265,9127,7373,6499,7947,2657,5170,5721
,225,743456,589111,596144,3568,1023,791,189,1265,862,1425,837,968,505,3324,95,1956,94,962,287,1124,1860,401,754,344,369,302,272
,225,3204136,1441950,1437053,26736,3918,1379,2189,1692,2080,1941,4179,2306,3474,9147,736,4271,717,1688,682,5481,3110,1525,1128,3336,661,576,734
,225,446064,79914,80353,3584,13,43,15,10,22,87,116,23,40,48,0,69,20,20,1,83,10,11,24,16,2,45,2
,225,1516176,1126621,1134269,3736,977,643,1977,1551,2200,2578,1823,1802,2019,4232,1425,864,1196,2945,1108,4805,4717,1440,1029,1654,2428,1284,1302
,225,2663472,1756108,1777676,12728,796,936,541,1923,2473,1745,2594,870,2252,4921,1394,2279,1600,4054,2907,5451,5493,2695,3226,2865,3394,1830,2345
,225,1702904,1303082,1268070,2656,706,1284,1344,1321,3672,2603,2652,901,3025,7712,1135,3322,1554,1675,1187,3280,2104,1916,1290,1406,1448,1411,2397
,225,6249544,2262210,2280710,34312,3394,1529,1048,1564,3364,2778,3297,1878,5422,3280,2721,4149,2058,1752,1369,4257,9229,2515,2731,2064,1687,4510,919
,225,3998696,1814913,1747572,26408,2991,2973,2690,2438,4130,3840,5351,2310,7080,3445,2626,2579,1867,2015,779,2749,5297,1915,1281,871,2114,6894,850
,225,5086704,2538956,2462132,145176,3393,2531,2016,3492,3331,5540,8243,2584,6749,25102,4620,7226,3744,10799,10465,30108,20616,9359,9721,10284,6537,6711,5986
,225,2715440,2407382,2417609,2520,4216,4942,1902,3843,6688,2933,6052,2110,6660,12400,2410,1902,4309,6429,3917,20492,8982,2781,6823,10424,2070,1326,1229
,225,4380416,1638418,1663179,27624,4828,3270,2320,1519,1627,1714,3158,458,3501,2862,1368,1632,2092,3809,1262,5476,1031,1225,240,348,532,766,465
,225,3138632,2147195,2086204,7528,2394,5038,3659,3846,6980,6698,6413,1665,5563,9001,4112,4277,2723,2445,2447,7008,5664,4371,2314,2954,4449,2216,4190
,225,4732240,2910790,2873000,10768,5197,2668,2901,5288,4668,5906,6396,2279,9871,9444,768,9184,6630,9553,11439,24895,18223,12521,12081,9683,10750,11250,10083
,225,3392248,2376551,2424966,11240,4756,2717,1888,6889,6368,9530,5088,5085,5473,12597,1609,11266,4945,11544,6018,37586,15917,7397,5782,8755,9054,8173,5412
,225,11629792,9638828,9451840,88488,17293,16673,24668,40430,49471,44006,88183,36877,39603,107590,12027,37114,39747,89936,116466,171789,121845,65086,93320,88876,57379,251518,42431
,225,1800088,467084,525756,15328,1058,693,535,440,670,956,815,178,741,915,207,1283,336,317,278,520,1227,265,116,189,421,154,169
,225,4154368,1456597,1368650,24448,867,3461,213,796,717,1158,782,1140,2583,1897,561,1075,309,393,204,2681,1575,872,510,805,528,784,875
,225,6688696,5658155,5645896,29944,21504,9635,7730,12713,18915,31482,10803,23199,16188,57381,3011,32901,8191,21574,4550,17858,17564,9253,13577,14676,8526,9092,8295
,225,2478832,1920226,1874435,3784,2823,4803,10519,2911,5879,9397,8637,1312,5439,11922,5012,9399,5908,3495,5212,11968,8222,7812,4946,4627,8311,4052,4275
,225,1014320,643785,645056,8304,796,500,1299,1638,1445,2348,1811,672,1968,3228,41,1039,622,1219,973,4706,2863,1641,1526,965,1201,2135,1292
,225,1061000,823460,790504,3952,2039,976,647,2255,1980,2966,1358,3463,1667,5066,135,2602,450,1182,577,10167,1432,746,1555,1000,504,723,639
,225,4353456,3756173,3646370,12856,8461,11940,7280,9069,12210,6159,17700,4450,13755,25898,6634,3486,13366,12226,11340,35068,35957,9281,20237,22653,10558,9347,8166
,225,2595376,1769945,1681483,19952,2437,2439,2356,4687,3356,6326,6437,6407,3965,8518,3517,5542,1979,5052,1949,7926,9438,8604,4929,4031,2586,4934,4894
,225,256768,126419,126550,2216,92,46,41,37,67,67,260,31,109,128,48,133,34,47,33,255,146,105,77,30,44,14,49
,225,1593336,1257674,1265877,2384,1787,459,644,935,1034,5709,1264,723,1555,2940,686,1175,451,1931,2939,8092,1375,495,253,1899,322,480,364
,225,3478776,1973169,1937243,74224,2624,2750,2312,4003,3524,6923,7164,4052,2794,11488,3501,4541,2168,4662,6821,10341,13588,8747,6268,4628,4461,4829,5411
,225,1347056,1179351,1161552,2072,1700,1242,731,2241,1493,2548,1885,940,3598,3684,2575,1309,439,471,293,918,2062,450,247,314,739,38688,342
,225,3557664,2184649,2153805,46784,2157,3816,2816,4818,6547,8060,8608,5888,8210,19420,4254,6900,4383,10910,9795,16038,17249,10887,8062,7146,5347,6392,5468
,225,1246944,1028414,1014124,7176,671,3638,4915,1251,2027,1003,661,1449,1816,3824,618,1288,515,2947,2029,4151,1262,1069,822,970,2219,1171,1033
,225,1678088,1311211,1308933,6744,1200,698,266,2187,1099,1272,633,1390,1857,1881,1911,2827,989,4950,1145,2514,4934,931,3188,1812,5087,20036,1968
,225,3446528,3126800,3107226,9112,6680,9305,4725,16999,12131,12696,9467,13260,12746,11918,16310,19599,5542,32175,27896,25063,33999,16002,20756,15251,13018,11064,9280
,225,2412056,842127,872565,18776,560,1480,602,1196,1248,1312,1422,838,1985,1247,910,996,1238,1326,1681,6274,5797,3252,1163,1231,1022,1260,1354
,225,944144,828969,802336,3928,3454,3582,3333,1916,3316,2605,4524,5553,5203,10261,1114,2129,1795,7272,6094,17439,9354,7307,5571,4361,4008,2447,4901
,225,2924928,1583600,1572692,28760,495,2689,565,2169,2292,2684,1690,2038,2369,4339,1772,3699,881,931,747,4379,3514,1124,600,1433,992,1387,1476
,225,2171608,1542277,1484642,18384,3062,4272,3973,5807,6353,4720,12430,5815,14680,9039,3821,5649,3209,6554,10968,19612,11198,12607,12973,11435,6179,11338,5717
,225,5113536,3705799,3655179,33216,9711,11663,17919,17122,20805,13606,30036,14434,23371,23397,10919,18341,15921,23322,34693,71086,40999,26802,27523,24375,12993,23332,13099
,225,4235928,2642108,2641281,18328,3714,6905,9742,6272,9442,4824,13275,4465,9735,14754,3267,5419,3070,7524,9844,23636,14196,10109,10477,7870,6518,11885,7434
